total,marca,modelo,año,color,fuel_type,puertas,tipo,motor,tipo_cuerpo,kilometros,moneda
14151.0,Citroën,C4 Lounge,2017,Blanco,Nafta,4.0,Automática,1.6,Sedán,48000,dólares
17834.0,Peugeot,208,2019,Blanco,Nafta,5.0,Manual,1.6,Hatchback,48000,dólares
8839.0,Fiat,Punto,2013,Blanco,Nafta,5.0,Manual,1.4,Hatchback,93000,dólares
25157.0,Nissan,Kicks,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,53000,dólares
17252.0,Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,SUV,40000,dólares
32915.0,Volkswagen,Vento,2018,Blanco,Nafta,4.0,Manual,2.0,Sedán,44000,dólares
13957.0,Peugeot,208,2014,Rojo,Nafta,5.0,Manual,1.6,Hatchback,82000,dólares
26169.0,Jeep,Compass,2018,Negro,Nafta,5.0,Manual,2.4,SUV,60000,dólares
10816.0,Renault,Kwid,2018,Naranja,Nafta,5.0,Manual,1.0,Hatchback,49000,dólares
12367.0,Ford,Ecosport,2014,Negro,Nafta,5.0,Manual,1.6,SUV,79000,dólares
12367.0,Ford,Ka,2019,Blanco,Nafta/GNC,4.0,Manual,1.5,Sedán,59000,dólares
11437.0,Chevrolet,Spin,2014,Gris,Nafta,5.0,Automática,1.8,Monovolumen,140000,dólares
16477.0,Fiat,Argo,2022,Blanco,Nafta,5.0,Manual,1.3,Hatchback,2000,dólares
13375.0,Chevrolet,Spin,2016,Blanco,Nafta,5.0,Manual,1.8,Monovolumen,48000,dólares
16285.0,Peugeot,208,2017,Plateado,Nafta,5.0,Manual,1.6,Hatchback,80000,dólares
17795.0,Peugeot,208,2019,Gris,Nafta,5.0,Manual,1.6,Hatchback,13000,dólares
16426.0,Ford,Focus III,2016,Gris,Nafta,5.0,Manual,2.0,Hatchback,86000,dólares
9886.0,Citroën,C3,2014,Gris,Nafta,5.0,Manual,1.5,Hatchback,118000,dólares
46136.0,Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,51700,dólares
8143.0,Ford,Focus II,2009,Dorado,Nafta,5.0,Manual,2.0,Hatchback,133000,dólares
21905.0,Peugeot,2008,2020,Marrón,Nafta,5.0,Automática,1.6,SUV,26000,dólares
13569.0,Chevrolet,Onix,2020,Blanco,Nafta,5.0,Manual,1.4,Hatchback,25000,dólares
20509.0,Ford,Focus III,2018,Gris,Nafta,4.0,Automática,2.0,Sedán,55000,dólares
9110.0,Peugeot,208,2013,Negro,Nafta,5.0,Manual,1.5,Hatchback,110000,dólares
14732.0,Chevrolet,Onix,2018,Blanco,Nafta,5.0,Automática,1.4,Hatchback,40000,dólares
22835.0,Toyota,Yaris,2021,Blanco,Nafta,5.0,Automática,1.5,Hatchback,19000,dólares
78500.0,RAM,1500,2022,Gris,Nafta,4.0,Automática,5.7,Pick-Up,8300,dólares
29271.0,Volkswagen,Nivus,2021,Blanco,Nafta,5.0,Automática,1.0,SUV,34000,dólares
13918.0,Renault,Sandero,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,57000,dólares
23998.0,Renault,Duster Oroch,2021,Negro,Nafta,4.0,Manual,2.0,SUV,26000,dólares
6242.0,Renault,Sandero,2013,Negro,Nafta,5.0,Manual,1.6,Hatchback,83000,dólares
7598.0,Volkswagen,Gol Trend,2015,Plateado,Nafta,5.0,Manual,1.6,Hatchback,65500,dólares
8839.0,Citroën,C4 Lounge,2014,Plateado,Nafta,4.0,Automática,1.6,Sedán,87000,dólares
8141.0,Volkswagen,Vento,2015,Plateado,Nafta,4.0,Manual,2.0,Sedán,54500,dólares
6397.0,Volkswagen,Up!,2018,Blanco,Nafta,5.0,Manual,1.0,Hatchback,79000,dólares
13918.0,Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,SUV,87000,dólares
8335.0,Ford,Focus III,2014,Plateado,Nafta,4.0,Manual,2.0,Sedán,57000,dólares
14732.0,Honda,HR-V,2015,Plateado,Nafta,5.0,Automática,1.8,SUV,92000,dólares
6009.0,Volkswagen,Gol,2012,Negro,Nafta,5.0,Manual,1.4,Hatchback,102000,dólares
6183.0,Renault,Clio,2014,Blanco,Nafta,3.0,Manual,1.2,Hatchback,85000,dólares
18221.0,Jeep,Renegade,2017,Gris,Nafta,5.0,Manual,1.8,SUV,52000,dólares
10855.0,Peugeot,2008,2016,Gris,Nafta,5.0,Manual,1.6,SUV,127000,dólares
42900.0,Hyundai,H1,2015,Gris,Diésel,4.0,Automática,2.5,Monovolumen,8900,dólares
29077.0,Volkswagen,Vento,2017,Gris,Nafta,4.0,Manual,2.0,Sedán,54000,dólares
24425.0,Honda,CR-V,2016,Negro,Nafta,5.0,Automática,2.4,SUV,126000,dólares
13375.0,Fiat,Palio,2016,Marrón,Nafta,5.0,Manual,1.6,Rural,59000,dólares
36833.0,Ford,Ranger,2018,Gris,Diésel,4.0,Automática,3.2,Pick-Up,70000,dólares
15081.0,Chevrolet,Cruze,2014,Azul,Nafta,5.0,Automática,1.8,Hatchback,31000,dólares
16283.0,Peugeot,2008,2017,Blanco,Nafta,5.0,Manual,1.6,SUV,78000,dólares
25200.0,Volkswagen,Amarok,2016,Negro,Diésel,4.0,Automática,2.0,Pick-Up,129000,dólares
16632.0,Peugeot,408,2018,Plateado,Diésel,4.0,Manual,1.6,Sedán,59000,dólares
48075.0,Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,52000,dólares
16244.0,Peugeot,408,2018,Plateado,Diésel,4.0,Manual,1.6,Sedán,59000,dólares
14151.0,Peugeot,408,2016,Gris,Diésel,4.0,Manual,1.6,Sedán,115000,dólares
24425.0,Honda,Civic,2017,Gris,Nafta,3.0,Automática,1.5,Hatchback,112000,dólares
24421.0,Honda,Civic,2017,Gris,Nafta,3.0,Automática,1.5,Hatchback,112000,dólares
16000.0,Volkswagen,Golf,2016,Plateado,Nafta,5.0,Automática,1.4,Hatchback,126000,dólares
10467.0,Renault,Sandero,2018,Negro,Nafta,5.0,Manual,1.6,Hatchback,44000,dólares
7657.0,Fiat,Uno,2016,Blanco,Nafta,5.0,Manual,1.4,Hatchback,87000,dólares
14151.0,Peugeot,408,2016,Gris,Diésel,4.0,Manual,1.6,Sedán,114000,dólares
7327.0,Renault,Sandero,2014,Rojo,Nafta,5.0,Manual,1.6,Hatchback,107000,dólares
25200.0,Volkswagen,Amarok,2016,Negro,Diésel,4.0,Automática,2.0,Pick-Up,128900,dólares
20160.0,Volkswagen,Polo,2019,Gris,Nafta,5.0,Automática,1.6,Hatchback,33444,dólares
18182.0,Citroën,Jumper,2014,Blanco,Diésel,4.0,Manual,2.3,Furgón,139000,dólares
115700.0,BMW,Serie M,2017,Gris,Nafta,2.0,Automática,3.0,Coupé,11000,dólares
11631.0,Renault,Logan,2018,Dorado,Nafta,4.0,Manual,1.6,Sedán,42000,dólares
10469.0,Fiat,Palio,2017,Gris,Nafta,5.0,Manual,1.4,Hatchback,37000,dólares
7755.0,Ford,Focus II,2009,Gris,Nafta,4.0,Manual,2.0,Sedán,160000,dólares
7755.0,Renault,Clio,2014,Gris,Nafta,5.0,Manual,1.2,Hatchback,88000,dólares
7755.0,Peugeot,207,2012,Gris,Diésel,5.0,Manual,1.4,Hatchback,110000,dólares
17174.0,Chevrolet,Cruze II,2018,Plateado,Nafta,4.0,Manual,1.4,Sedán,63000,dólares
9500.0,Volkswagen,Up!,2014,Plateado,Nafta,3.0,Manual,1.0,Hatchback,88000,dólares
22676.0,Volkswagen,Amarok,2015,Gris,Diésel,4.0,Manual,2.0,Pick-Up,138468,dólares
6397.0,Chevrolet,Aveo,2011,Blanco,Nafta,4.0,Manual,1.6,Sedán,153000,dólares
9500.0,Volkswagen,Up!,2014,Plateado,Nafta,3.0,Manual,1.0,Hatchback,95000,dólares
19497.0,Renault,Captur,2021,Plateado,Nafta,5.0,Manual,2.0,SUV,102000,dólares
20160.0,Volkswagen,Polo,2019,Gris,Nafta,5.0,Automática,1.6,Hatchback,33500,dólares
7172.0,Chevrolet,Celta,2012,Rojo,Nafta,3.0,Manual,1.4,Hatchback,85000,dólares
11049.0,Volkswagen,Gol Trend,2017,Azul,Nafta,3.0,Manual,1.6,Hatchback,45000,dólares
13530.0,Volkswagen,Gol Trend,2017,Blanco,Nafta,5.0,Manual,1.6,Hatchback,39000,dólares
12988.0,Ford,Ecosport,2016,Blanco,Nafta,5.0,Manual,1.6,SUV,108000,dólares
32915.0,Volkswagen,Passat,2017,Blanco,Nafta,4.0,Automática,2.0,Sedán,59000,dólares
15081.0,Volkswagen,Polo,2018,Azul,Nafta,5.0,Automática,1.6,Hatchback,79000,dólares
14151.0,Chevrolet,Prisma,2018,Plateado,Nafta,4.0,Automática,1.4,Sedán,38000,dólares
10041.0,Peugeot,208,2014,Gris,Nafta,5.0,Manual,1.5,Hatchback,79000,dólares
15119.0,Peugeot,2008,2017,Gris,Nafta,5.0,Manual,1.6,SUV,68000,dólares
14305.0,Nissan,Versa,2019,Blanco,Nafta,4.0,Automática,1.6,Sedán,50000,dólares
19772.0,Volkswagen,Golf,2016,Gris,Nafta,5.0,Automática,1.4,Hatchback,115000,dólares
21284.0,Jeep,Renegade,2018,Verde,Nafta,5.0,Automática,1.8,SUV,69000,dólares
16244.0,Ford,Focus III,2016,Gris,Nafta,5.0,Manual,2.0,Hatchback,56000,dólares
34854.0,Ford,Ranger,2020,Gris,Diésel,4.0,Automática,3.2,Pick-Up,14000,dólares
25161.0,Ford,Ranger,2015,Blanco,Diésel,4.0,Automática,3.2,Pick-Up,169000,dólares
28263.0,Ford,Mondeo,2018,Gris,Nafta,4.0,Automática,2.0,Sedán,60000,dólares
10816.0,Fiat,Fiorino,2016,Blanco,Nafta,3.0,Manual,1.4,Furgón,61000,dólares
9653.0,Fiat,Qubo,2014,Rojo,Nafta/GNC,5.0,Manual,1.4,Monovolumen,118000,dólares
25976.0,Audi,Q5,2013,Blanco,Nafta,5.0,Automática,2.0,SUV,153000,dólares
15081.0,Chevrolet,Cruze,2014,Gris,Nafta,4.0,Automática,1.8,Sedán,31000,dólares
22409.0,Baic,X55,2019,Negro,Nafta,5.0,Manual,1.5,SUV,38800,dólares
17058.0,Toyota,Corolla,2016,Blanco,Nafta,4.0,Manual,1.8,Sedán,75000,dólares
52900.0,Toyota,Hilux,2022,Blanco,Diésel,4.0,Automática,TOYOTA 2.8,Pick-Up,1000,dólares
8366.0,Chevrolet,Classic,2014,Plateado,Nafta/GNC,4.0,Manual,1.4,Sedán,63000,dólares
8529.0,Renault,Kangoo,2013,Plateado,Nafta,3.0,Manual,1.6,Furgón,88000,dólares
8490.0,Citroën,C4,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,79000,dólares
14305.0,Volkswagen,Polo,2017,Dorado,Nafta,4.0,Automática,1.6,Hatchback,45000,dólares
17500.0,Mercedes-Benz,Clase A,2013,Negro,Nafta,5.0,Manual,1.6,Hatchback,115000,dólares
14305.0,Volkswagen,Polo,2017,Dorado,Nafta,5.0,Automática,1.6,Hatchback,45000,dólares
18183.0,Volkswagen,Vento,2016,Negro,Nafta/GNC,4.0,Automática,2.5,Sedán,172000,dólares
34854.0,Dodge,Journey,2018,Negro,Nafta,5.0,Manual,3.6,SUV,59900,dólares
18958.0,Chevrolet,Tracker,2017,Gris,Nafta,5.0,Automática,1.8,SUV,41000,dólares
12406.0,Peugeot,Partner Patagónica,2015,Blanco,Nafta,4.0,Manual,1.6,Monovolumen,91000,dólares
9692.0,Fiat,500,2012,Negro,Nafta,3.0,Manual,1.4,Hatchback,79000,dólares
11437.0,Fiat,500,2013,Marrón,Nafta,3.0,Manual,1.4,Hatchback,81262,dólares
24386.0,Honda,HR-V,2016,Violeta,Nafta,5.0,Automática,1.8,SUV,60000,dólares
15120.0,Renault,Sandero Stepway,2020,Blanco,Nafta,5.0,Automática,1.6,Hatchback,62850,dólares
30550.0,Hyundai,Santa Fe,2017,Gris,Nafta,5.0,Manual,2.4,SUV,90000,dólares
42259.0,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5.0,Automática,1.4,SUV,48711,dólares
6784.0,Ford,Ka,2013,Gris,Nafta,3.0,Manual,1.0,Hatchback,70000,dólares
